file,artist,title,year,lyrics
subset_msd_summary_file.h5,Mastodon,Deep Sea Creature,2001,"Knowing right, learning wrong
What you're feeling is pressure
Pulsate new blood
I've seen things you've heard never before

Bones aged in dust
Buy your bite take the body
Calm, shutting down

You built me, I knew it
I'll never lie liar
You fed me, I chewed it
I'll never lie liar

I follow you covering me
Spirits in pieces
Crumbled and burnt

Knowing right, learning wrong
What you're feeling is pressure
Pulsate new blood
I've seen things you've heard never before

Bones aged in dust
Buy your bite take the body
Calm, shutting down

You built me, I knew it
I'll never lie liar
You fed me, I chewed it
I'll never lie liar

I follow you covering me
Spirits in pieces
Crumbled and burnt"
TRAAAAW128F429D538.h5,Casual,I Didn't Mean To,0,"Alright I might
Have had a little glare when I stared at your ho
But I didn't know she was like that, she stared right back
My niggas was warnin' me that she was comin' on to me

I react like a mack do I act cool
Just to test her 'cause I ain't no jester
I suggest her and her friend be outtie
Because I don't want to make my pals get rowdy

And doubt me our friendship
But when lips touch
I go crazy in the clutch
Sorta like a schitzo I forgets my bros and pals over gals

I didn't mean to but when you fiend you do
Strange things for the [Incomprehensible] denim no matter who's in em
Grab a flooze then I'm in traffic
Don't laugh it might be your girl that I'm talkin' about
I didn't mean to

It ain't my fault that your girl got caught
It ain't my fault that your girl got caught
It ain't my fault that your girl got caught
It ain't my fault that your girl got caught

It ain't my fault that your girl got caught
It ain't my fault that your girl got caught
It ain't my fault that your girl got caught
It ain't my fault that your girl got caught

Another incident when I went
Way beyond what I should of done
John should of stopped before them drawers dropped
But I didn't ain't no quittin'
Really didn't care who's girl I was hittin'

I admit skinz ain't a reason to lose friends
But then again I didn't know, sorry
Accept apologies and live on
Are we gonna hold grudges? Well, oh, fudge

Its a new year and I do fear your actions
Your actin' shy, I mean you need to be smackin' that hoe
Instead of tryin' to front on me, you know
Thats exactly how I'm goin' to be, you know
I run my game on any G, you know

'Cause we the most entertainin'
I meant to blame women
For makin' me do what the Ak seem to
When you call I screen you
I didn't mean to

It ain't my fault that your girl got caught
It ain't my fault that your girl got caught
It ain't my fault that your girl got caught
It ain't my fault that your girl got caught

It ain't my fault that your girl got caught
It ain't my fault that your girl got caught
It ain't my fault that your girl got caught
It ain't my fault that your girl got caught

Why do hoes be schememin', dreamin', actin' like demons?
My semen, don't give a fuck because they [Incomprehensible]
Too many girls front cute when they want loot
They tell lies, the swell guys can peep it and thats weak shit
Thats why I run game on every freak I get

Born in Oakland grew up pumpin' Too Short
I know the rules on the flooze so who's short
I once had a dunce ho who smoked blunts yo
She tried to get me so I looked at the front door
And now shes not with me so forget it but every once in a while I'll hit it

And it happened to be your girl
I didn't mean to and I been through
Your relationship and I hate dumb dips
But I really can't trip when they ride my tip
I didn't mean to

It ain't my fault that your girl got caught
It ain't my fault that your girl got caught
It ain't my fault that your girl got caught
It ain't my fault that your girl got caught

It ain't my fault that your girl got caught
It ain't my fault that your girl got caught
It ain't my fault that your girl got caught
It ain't my fault that your girl got caught"
TRAAABD128F429CF47.h5,The Box Tops,Soul Deep,1969,"Darlin' I don't know much.
I know I love you so much.
My life depends on your touch.

And my love is a river runnin' soul deep. 
Way down inside me it's a-soul deep.
It's to big to hide and it can't be denighed.
My love is a river runnin' soul de..ee..ee..ep.

I work myself to death for ya
Just to show I adore ya.
Nothing I wouldn't do for ya.

Cause my love is a river runnin' soul deep.
Way down inside me it's a-soul deep.
It's to big to hide and it can't be denighed.
My love is a river runnin' soul de..ee..ee..ep.

All I ever ever hope to be 
Depends on your love for me.
Baby believe me, if you should leave me 
I'd be nothing but an empty shell.
I know darn well, I can tell now.

I don't know much.
But I know I love you so much.
My life depends on your touch.

And my love is a river runnin' soul deep.
Way down inside me it's a-soul deep.
It's to big to hide and it can't be denighed.
My love is a river runnin' soul de..ee..ee..ep.

My love is a river runnin' soul deep.
Way down inside me it's a-soul deep.
My love is a river runnin' soul deep.
Way down inside me it's a-soul deep..."
TRAAAEF128F4273421.h5,Adam Ant,Something Girls,1982,"Every girl is a something girl
Every girl is a something girl
Every girl is a something girl
She's got something, she's got something

Every girl is a something girl
Every girl has a something smile
Every girl is a something girl
For a while, for a while

I had three wishes I know mine
I would not ask the stars to shine
I wouldn't ask for gems or pearls
I'd ask for the something girls

Every girl is a something girl
From the whites of her eyes to the tip of a curl
Every girl sends a something boy
With that something, with that something

When this old world won't treat you right
You're not feeling yourself tonight
Think of someone you can do
Relax and let that something through

Every girl is a something girl
Every girl is a something girl
Every girl is a something girl
She's got something, she's got something

Every girl is a something
She's got, she's got something
Every girl is a something
She's got, she's got something

Every girl is a something
She's got, she's got something
Every girl is a something
She's got, she's got something"
TRAABJV128F1460C49.h5,Lionel Richie,Tonight Will Be Alright,1986,"Little darling
Where you've been so long
I've been out here thinking about ya
And the feeling's real strong
Well the time has come to celebrate
You and me girl so sounds great
Cause tonight will be alright
Oh baby

Little darling, come on
Let's take a ride
To a midnight honey town and set it on fire
We don't want to be mad
But we have to be cool
You and me girl
Let's break all the rules
Cause tonight will be alright
Oh my baby, I'm gonna say it again

I can see us moving on
Down the highway
I can see us loving
Till our hearts desire
Anything you wanna do girl
You just tell me
Cause it's alright, cause it's alright

Little darling, telling you no use
Keep me thinking about you honey
My soul's on fire
Well if you want me girl
And the games I play
Anything's alright, anything you say
Cause tonight will be alright
Alright, baby I'll say it again, alright
Alright, alright, alright, baby
We gonna make it alright
You and me baby, alright"
TRAABLR128F423B7E3.h5,Blue Rodeo,Floating,1987,"Well, these late night conversations
Leave a strange taste,
Like french cigarettes.
And these coloured drinks
That you keep on throwin' at me
Just keep on reminding me
I came to forget.

So now every night
You insist on reminding me
Of my lost possibilities
And the stains on the wall.
Well, I don't mean to complain
But it hurts just the same.
And now both of us know
The leaves will fall on their own.

Just throw me a line
That's all that I ask
Well, it's sink or swim and I'm goin' fast
I need love and it's you
And I feel like William Holden floating in a pool.

Yea, you tell me
Life is for living
It's best in the giving
But it's so hard to be free.
Still I do my best
But you refuse my gift
And now all that we share
Is a collection of tears.

Just throw me a line
That's all that I ask
Well, it's sink or swim and I'm going fast
I need love and it's you
And I feel like William Holden floating in a pool."
TRAABYN12903CFD305.h5,Jimmy Wakely,Broken-Down Merry-Go-Round,0,"You said that you love me
but it wasn't long till I've found
that you had me riding
A broken down merry go round

Sweet kisses your gave me but soon
it was all over town that you had me riding
A broken down merry go round

You told me that you would always be near, LOVE me my dear through sorrow and tears
But all I left is a brace survivor
Instead of ring made of gold

My poor heart is breaking
you made me a fool and a clown
for you had me riding
A broken down merry go round

You told me that you would always be near... LOVE me my dear through sorrow and tears
But all I left is a brace survivor
Instead of a ring made of gold

My poor heart is breaking
You made me a fool and a clown
For you had me riding
A broken down merry go, merry go, merry go, merry go round"
TRAACER128F4290F96.h5,The Dillinger Escape Plan,Setting Fire to Sleeping Giants,2004,"First off let me say you look so tired
Rest your head and shut your eyes
Empty ambition blankets the sky
I'm thinking 'bout another world

Tonight, you're right, you're right, you're right

So drop the gown the game's over
Just push your face into the fight
And it breaks my heart
Like dancing up all night

Ride so high, we both start thinking
'Bout another world tonight
And it feels so wrong
Like nothing we've ever felt before

You're right, you're right, you're right

The stranger's candy takes you where you ought to be
In broken alleys, in the back of every street
Close your eyes tonight

Baby you can have it
Baby you can have it

Ooh baby, [Incomprehensible] me down to the bone
Soon you'll find I'm never gonna take you back home
Well, there's so much you never told me
And there's not much I wanna know
'Cause your pretty face will do just fine
You'll be the star of my every last show

Let's go for a long ride
I'll show you places you won't ever wanna leave

The stranger's candy takes you where you ought to be
In broken alleys, in the back of every street
Stranger's candy, broken alleys, yeah tonight

We could bring it all down
We could bring it all down
They think this body's a dead note
Dancing to the beat but they'll never see this corpse
Coming 'til it kills them"
TRAACFV128F935E50B.h5,SUE THOMPSON,James (Hold The Ladder Steady),1985,"(peak Billboard position # 17 in 1962)
Words and Music by John D. Loudermilk
James, James hold the ladder steady
James, James I'm packed tonight I'm ready
James, James hold the ladder steady
I'm a'comin' down to your ar-ar-ar-rms
I'm a'comin' down to your arms.
Now James and I we went to mama and showed her my diamond ring
She said ""my poor little baby, you must be crazy, to think of such a
thing""
So James, James hold the ladder steady
James, James I'm packed tonight I'm ready
James, James hold the ladder steady
I'm a'comin' down to your ar-ar-ar-rms
I'm a'comin' down to your arms.
Now James and I we went to daddy and said that we want to be wed
Daddy said ""nope, you'll just have to elope"" and laughed as he went to
bed
But James, James hold the ladder steady
James, James I'm packed tonight I'm ready
James, James hold the ladder steady
I'm a'comin' down to your ar-ar-ar-rms
I'm a'comin' down to your arms.
I'd hate to see 'em in the morning when they both completely flip
He'll be sayin' ""they cain't"", she'll be feeling faint
And I'll be kissing my husband's lips
So James, James hold the ladder steady
James, James I'm packed tonight I'm ready
James, James hold the ladder steady
I'm a'comin' down to your ar-ar-ar-rms
I'm a'comin' down to your arms.
FADE
James, James hold the ladder steady
James, James I'm packed tonight I'm ready
James, James hold the ladder steady"
TRAACNS128F14A2DF5.h5,Willie Bobo,Spanish Grease,1997,"Ain't no love
Ain't no love
Ain't no love
Ain't no love

We're missing in action living in a time when it's in fashion
To be gun flashing, blasting that's why we ain't lasting
All fastened, strapped ready for rivals harassing
Looking over your shoulder ducking cars that are passing
In my rumbo you hear that latin lingo
Guns shoot through at pachucos fuckin? sickos
With four nickels nobody walks around single
Get caught slipping they'll pull your card from a window
It's that simple locals get gaffled by barrio locos
Steal their spanish grease making them shed a tear like willie bobo
Over dollars, chains and rings things that are worth poco
A coco's out there stealing 'cause they're fiending for perico
A head crack will strike and attack for a sack
Pawn or sell your shit to buy a rock and bring that high back
That's why I strap it's my defense against those
Who are committing defense randomly becoming foes?
Shit is survival of fittest testing who's biggest and realest on the street
Feel this beware of killers, stealers and dealers
Rebel guerillas striking on policemen who give us
Hard times in the city where no love is with us

Ain't no love
Ain't no love
In the city?
In the city?

Ain't no love
Ain't no love
Ain't no love
Ain't no love
In the city
In the city
In the city
In the city

Ain't no love"
TRAACQT128F9331780.h5,John Wesley,The Emperor Falls,0,"Brick by brick
stone by stone
dismantle the will of a man
strip his flesh and bone

Reach out your hand
the moment comes
blade catches the light of your eyes
the man slowly comes undone

Nobody noticed
no one saw a thing
all turned a blind eye to the fallen
and the bad luck he brings

You wake in the morning after
the sky's a color that you can't see
friends have fallen by the wayside
why isn't anyone talking to me
get those funny looks in the market
people you loved just stare
wander on with your hands in your pockets
even your girlfriend don't care

They've all come to watch the emperor
They've all come to watch the emperor
They've all come to watch the emperor

To watch the emperor fall

One part truth
three parts deceit
two parts shit that you made up
add passion for heat

Did ya hear he said this
can you believe he done that
can you believe the nerve of the man
let me at him tell me where he's at
wake to your fave in the mirror
see someone you don't recognize
stare at the changes in the reflection
you've become someone that you despise"
