file,artist,title,year,lyrics,mood
TRAWBOE128F92F2F46.h5,Pearl Jam,You Are,2002,"Pearl Jam
Riot Act
You Are
This broken wheel is coming undone.
And the road's exploding.
But you're keeping me strong.
Rolling along with you.

Love is a tower and you're the key.
Leading me higher. When you let me in.

Keeping us close, so close, on down the line.
Sometimes I burn like a dot on the sun with no one knowing.
But you're keeping me strong. Moving along with you.

You are a tower of strength to me.
The darkening hour sees light again.

Again. Ooh wah, ooh wah, you are, you are.

Love is a tower of strength to me.
I am the shoreline but you're the sea.

The sea. You are.",sad
TRBFHRA128F424D28A.h5,Bessie Smith,Chicago Bound Blues,1991,"Late last night, I sold away and cried
Late last night, I sold away and cried
Had the blues for Chicago, I just can't be satisfied

Blues on my brain, my tongue refused to talk
Blues on my brain, my tongue refused to talk
I was followin' my daddy but my feet refuses to walk

Mean old fireman, cruel old engineer
Lord mean old fireman, cruel old engineer
You took my man and left his mama standing here

Big red headline, tomorrow Defender news
Big red headline, tomorrow Defender news
""Woman dead down home, these old Chicago blues""
I said blues",sad
TRADODV128F4283EB6.h5,Mobb Deep,Got It Twisted,2004,"Yeah nigga
Once again
We have
MOBB nigga yeah a huh
Uh yeah, c'mon now, yeah yo yo

Ain't no party once we crash the party
I'm might squeeze shorty, then vacate the party
You keep grillin', I'll pump pump the shotty
Put you in the trunk then dump dump the body
Nigga you don't know you betta ask somebody
Y'all get down we gonna clash probably
Peel snowflake out of the abercrombie
I'm tryin' to rip Britney so I made Jive sign me

Nigga catch me in tha club with a double lead banger
I'm the wrong one to fuck with
Now I know the promoters I'm in with the musket
Pound of the haze and a box of Dutches
High to the cottonmouth
Paranoid, make the wrong move bitch and your ass is out
Like MOP nigga I'll mash you out
If I can't get your head swing by your house

Y'all niggas got it twisted huh?
That liquor up in your U-charged
That truth come out when you drunk
Your ass won't make it to see tomorrow
Y'all niggas got it twisted huh?
That liquor up in your U-charged
That truth come out when you drunk
Your ass won't make it to see tomorrow

We step up in the club with one thing
On our mind that's leave with something
Get rid of that ring get rid of those cuffs
We about to, girl
We about to, girl
We about to, girl
We about to, girl
We about to, girl

Yo, party over here ain't shit over there
The Mobb Deep boys got it locked right here
Wherever we at we keep the cliques right there
So where ever there's beef is gettin' fixed right there
And they can't stop us, they too scared
They know a caliber thug shoot at heads nigga
QB drop you off at that bridge
Show you how we do it in Queens
Murder ain't shit nigga

This is P talking show you where I live
You come right to my crib and get a fo shizz
There'll be manslaughter right in front of my kids
A little blood get on my daughter
That's nothing she'll live
Got cops shoot to death of us
We don't like D's
You never catch us runnin' with the police
You all niggas get your vests up
And ya'll better invest in some real heavy bulletproof paneling

Y'all niggas got it twisted huh?
That liquor up in your U-charged
That truth come out when you drunk
Your ass won't make it to see tomorrow
Y'all niggas got it twisted huh?
That liquor up in your U-charged
That truth come out when you drunk
Your ass won't make it to see tomorrow

We step up in the club with one thing
On our mind that's leave with something
Get rid of that ring get rid of those cuffs
We about to, girl
We about to, girl
We about to, girl
We about to, girl
We about to, girl",sad
TRAOPRI12903C9FC25.h5,Bruce Springsteen,Rosalita (Come Out Tonight),1973,"Spread out now rosie doctor come cut loose her mama's reins
You know playin' blind man's bluff is a little baby's game
You pick up little dynamite i'm gonna pick up little gun
And together we're gonna go out tonight and make that highway run
You don't have to call me lieutenant rosie and i don't want to be your son
The only lover i'm ever gonna need's your soft sweet little girl's tongue and rosie you're the one
Dynamite's in the belfry playin' with the bats
Little gun's downtown in front of woolworth's tryin' out his attitude on all the cats
Papa's on the corner waitin' for the bus
Mama she's home in the window waitin' up for us
She'll be there in that chair when they wrestle her upstairs `cause you know
We ain't gonna come
I ain't here for business, i'm only here for fun

Rosalita jump a little lighter, senorita come sit by my fire
I just want to be your lover ain't no liar, rosalita you're my stone desire

Jack the rabbit and weak knees willie you know they're gonna be there
Ah sloppy sue and big bones billie they'll be comin' up for air
We're gonna play some pool skip some school act real cool stay out all night it's gonna feel alright
Rosie come out tonight, rosie come out tonight
Windows are for cheaters chimneys for the poor
Closets are for hangers winners use the door

Rosalita jump a little...

Now i know your mama she don't like me `cause i play in a rock and roll band
And i know your daddy he don't dig me but he never did understand
Papa lowered the boom he locked you in your room
I'm comin' to lend a hand
I'm comin' to liberate you confiscate you i want to be your man
Someday we'll look back on this and it will all seem funny
But now you're sad your mama's mad
And your papa says he knows that i don't have any money
Tell him this is last chance to get his daughter in a fine romance
Cause the record company Rosie, just gave me a big advance

My tires were slashed and i almost crashed but the lord had mercy
My machine she's a dud out stuck in the mud somewhere in the swamps of jersey
Hold on tight stay up all night `cause rosie i'm comin' on strong
By the time we meet the morning light i will hold you in my arms
I know a pretty little place in southern california down san diego way
There's a little cafe where they play guitars all night and day
You can hear them in the back room strummin'
So hold tight baby `cause don't you know daddy's comin'

Rosalita jump a little...",happy
TRAXLPR128F428E466.h5,The White Stripes,A Martyr For My Love For You,2007,"She was sixteen and six feet tall
In a crowd of teenagers comin' out of the zoo
She stumbled, started to slip and fall
Teeter-tottered on the top of patent leather shoes
I happened to catch her and said
""Maybe these ruby shoes are a little cumbersome for you""
Maybe for you, now

But not as shaky as I must have seemed
Talkin' junk through her giggle, little teenage dream
And on the phone I could not compete
My dumb luck, fake competence was gettin' weak
For a sec I thought I sounded sweet
But sure enough in a gruff, faint voice
I heard myself speak

I could stay a while but sooner or later I'll break your smile
And I can tell a joke but one of these days I'm bound to choke
And we could share a kiss but I feel like I can't go through with this
And I bet we could build a home but I know the right thing for me to do
Is to leave you alone, leave you alone, now

I'm beginnin' to like you
So you probably won't get what I'm going to do
I'm walkin' away from you
It probably don't make much sense to you
But I'm tryin' to save you
From all of the things that I'll probably say or do
I'll probably do

I could stay a while but sooner or later I'll break your smile
And I can tell a joke but one of these days I'm bound to choke
And we might share a kiss but I feel like I can't go through with this
And I bet we could build a home but I know the right thing for me to do
Is to leave you alone, leave you alone, now

You'll probably call me a fool
And say I'm doin' exactly what a coward would do
An' I'm beginnin' to like you
It's a shame, what a lame way to live but what can I do?
I hope you appreciate what I do

I'm a martyr for my love for you
A martyr for my love for you
A martyr for my love for you
A martyr for my love for you",happy
TRAGLSU128F145FFB2.h5,K-OS,Heaven Only Knows,2002,"Yeah, got it, the remix
[Incomprehensible], yeah
Turn this up, yo
Heaven only knows if they heard this
Heaven only knows if they heard me, yeah
You know what?

Heaven only knows
'Cuz I don't understand, understand now
Won't you tell me, please? Tell me
What's the master plan? Master plan

Spent so many days, many days
Sitting on a cloud, sitting on a cloud
Heaven only knows, only God knows
So I'll just move the crowd
Yo, tell 'em, tell 'em
Now, now, now

I break out my physical shell and excel
Past the so called body used to go to the party
But now I sit and chill with the pen and a pad
Dropping ill philisophical science

Me and my dad, we talk about life and how it started
How we departed from lights path and probable right math
The task at hand is makin' people understand
That we're not who we think we are

Within this land of lost the cost of souls could be so high, high
People be gettin' high, high, wonderin' why we die?
But it's all planned, right, to get your fear take the hand
We keep on returnin', 'cuz the lessons need learnin'

Concernin', what? The fact I sing and I rap
I hold this mic contact
Critics can step back and analize
I energise with cosmic rays of days they ignore
[Incomprehensible]

Heaven only knows
'Cuz I don't understand, don't understand
Won't you tell me, please? 'Cuz I pray everyday
What's the master plan? The master plan

Spent so many days, many days
Sitting on a cloud, sitting on a cloud
Heaven only knows, only God knows
So I'll just move the crowd
So, uh riddle me this
Riddle me this like this

Melodical prodigal flows, hypnotical blows to brain pieces, Telekenisis
When I reach this pinnacle cynical clinical
Microphone autobots waitin' on lotto spots
Tryin' to rock

But yo they can't understand
There's only one plan, the time is at hand
In the year two zero one one
The people of the sun return to free the righteous children

Now, I know you want to be on top of the world
Givin' a diamond and pearl to your girl watchin' your jaccuzi swirl
Seems like material lust
We need to look up to the Heavens for imperial trust me

It's kinda hard when you rhyme sometimes
Everybody wants to scrutinize, redifine who you are
But every person is a star, so let your light shine far
And praise God

Heaven only knows, only knows now
'Cuz I don't understand, don't understand now
Won't you tell me, please? Tell me, please
What's the master plan? I wanna know the plan

Spent so many days, many days
Sitting on a cloud, sitting on a cloud
Heaven only knows
So I'll just move the crowd

If you feel this, uh
Sing it with me like
Sing it with me like
Everybody, uh
Sing it with me like

La, la, la
I'll just move the crowd for now
Gotta move the crowd
Gotta move the crowd
Gotta move the crowd
La, la, la
I'll just move the crowd for now
S, somebody told me, they said, uh

If you free them they will start revolution
And Babylon cannot defeat them
Right and they don't want that
And they don't want that

If you free them, free them, they will start revolution
And babylon cannot defeat them
Mind revolution
Mind revolution

And so uh, uh, my sister Sage
And my girl Graf, you know the time
The shadow thorn and S love
And Agel and a the figure four

Uh, huh, the Rascalz
And uh, and Kardinal
And uh, my mom and dad
Uh, my brother A
And uh, my brother J
And uh the whole world

Uh, huh, the T dot
Uh, huh, the Van city
Uh, huh, the whole world
Uh, huh, you get love
Uh, huh, yo, yo yo, yo, alright",sad
TRAFKHA12903CF0E89.h5,Shakedown,At Night,2001,"i sand hear

It seems I can't deny
Some days just don't seem right
I think I feel, I feel much better
At night

Sometimes I can't deny
Some days just don't seem right
I think I feel, I feel much better
At night

Sometimes I can't deny
Some days just pass me by
You know I feel, I feel much better
At night

(I feel...)

Seems I can't deny
Some days just don't seem right
I think I feel, I feel much better
At night

Sometimes I can't deny
Some days just pass me by
You know I feel, I feel much better
At night

Yeah",happy
TRABUMO12903CBE25F.h5,Alice In Chains,Lesson Learned,2009,"Just another lesson learned
Wear a scar, a bore repeating
Take a simple fateful turn
Opened up to stop the bleeding

Feeling you never could
Been the disconnected frying
Hit the vein and struck a nerve
Seeing through a self that's blinding

Nowhere to buy in
Most of us hiding
Others are shining

You know when you find it
In your darkest hour, you strike gold
A thought clicks, not the be-all end-all

Just another lesson learned...

Just another brick you toss
Stone the number one deceiver
Multiply the added cost
Easy to become a believer

Feeling like you never could
Been the disconnected frying
Hit the vein and struck a nerve
Seeing through a self that's blinding

Nowhere to buy in
Most of us hiding
Others are shining

You know when you find it
In your darkest hour, you strike gold
A thought clicks, not the be-all end-all

Just another lesson learned...",sad
TRACRTS128F9300F7E.h5,Bad Brains,Destroy Babylon,1983,"Don't beat yourself upside the head.
Don't beat yourself for this.
Don't beat yourself upside the head, don't beat yourself for this.
Oh, there is a way out.
It's a natural plan, the natural.
How many days do we sit around, while they keep on burying all our leaders in the ground.
Organize, centralize.
It's time for us to fight for our lives.
Destroy Babylon.
Oh there is a way.",sad
TRACBOR128F422CFE4.h5,Buzzcocks,Strange Thing,1980,"Strange thing happened one day
Someone thought they heard someone say
Gotta face new directions
Get new expectations
Strange thing happened one day
Someone thought they heard someone say
Get rid of complications
Free yourself from frustrations
Gotta control depression
Gotta control this depression

Strange thing happened today
I thought I heard somebody say
Gotta face new directions
Get new expectations
Strange thing happened today
I thought I heard somebody say
Get rid of complications
Free yourself from frustrations
Gotta control depression
Gotta control this depression

Strange things will happen one day
You think you hear somebody say
Gotta face new directions
Get new expectations
Strange thing will happen one day
You think you hear somebody say
Get rid of complications
Free yourself from your frustrations
Gotta control depression
Gotta gotta control this depression",happy
